maxcnt:120
cntdiff -9 -8 -7 -6 -5 -4 -3 -2 -1 0 1 2 3 4 5 6 7 8 9
76 0.0062 0.0065 3.9e-05 0.037 0.01 0.0046 0.029 0.11 0.051 0.55 0.049 0.076 0.0013 0.016 0.016 0.0015 0.014 0.0084 0.0036
77 0.0062 0.0065 3.9e-05 0.037 0.01 0.0046 0.029 0.11 0.051 0.55 0.049 0.076 0.0013 0.016 0.016 0.0015 0.014 0.0084 0.0036
78 0.0062 0.0065 3.9e-05 0.037 0.01 0.0046 0.029 0.11 0.051 0.55 0.049 0.076 0.0013 0.016 0.016 0.0015 0.014 0.0084 0.0036
79 0.0062 0.0065 3.9e-05 0.037 0.01 0.0046 0.029 0.11 0.051 0.55 0.049 0.076 0.0013 0.016 0.016 0.0015 0.014 0.0084 0.0036
80 0.0062 0.0065 3.9e-05 0.037 0.01 0.0046 0.029 0.11 0.051 0.55 0.049 0.076 0.0013 0.016 0.016 0.0015 0.014 0.0084 0.0036
81 0.0062 0.0065 3.9e-05 0.037 0.01 0.0046 0.029 0.11 0.051 0.55 0.049 0.076 0.0013 0.016 0.016 0.0015 0.014 0.0084 0.0036
82 0.0062 0.0065 3.9e-05 0.037 0.01 0.0046 0.029 0.11 0.051 0.55 0.049 0.076 0.0013 0.016 0.016 0.0015 0.014 0.0084 0.0036
83 0.0062 0.0065 3.9e-05 0.037 0.01 0.0046 0.029 0.11 0.051 0.55 0.049 0.076 0.0013 0.016 0.016 0.0015 0.014 0.0084 0.0036
84 0.0062 0.0065 3.9e-05 0.037 0.01 0.0046 0.029 0.11 0.051 0.55 0.049 0.076 0.0013 0.016 0.016 0.0015 0.014 0.0084 0.0036
85 0.0062 0.0065 3.9e-05 0.037 0.01 0.0046 0.029 0.11 0.051 0.55 0.049 0.076 0.0013 0.016 0.016 0.0015 0.014 0.0084 0.0036
86 0.0062 0.0065 3.9e-05 0.037 0.01 0.0046 0.029 0.11 0.051 0.55 0.049 0.076 0.0013 0.016 0.016 0.0015 0.014 0.0084 0.0036
87 0.0062 0.0065 3.9e-05 0.037 0.01 0.0046 0.029 0.11 0.051 0.55 0.049 0.076 0.0013 0.016 0.016 0.0015 0.014 0.0084 0.0036
88 0.0062 0.0065 3.9e-05 0.037 0.01 0.0046 0.029 0.11 0.051 0.55 0.049 0.076 0.0013 0.016 0.016 0.0015 0.014 0.0084 0.0036
89 0.0062 0.0065 3.9e-05 0.037 0.01 0.0046 0.029 0.11 0.051 0.55 0.049 0.076 0.0013 0.016 0.016 0.0015 0.014 0.0084 0.0036
90 0.0062 0.0065 3.9e-05 0.037 0.01 0.0046 0.029 0.11 0.051 0.55 0.049 0.076 0.0013 0.016 0.016 0.0015 0.014 0.0084 0.0036
91 0.0062 0.0065 3.9e-05 0.037 0.01 0.0046 0.029 0.11 0.051 0.55 0.049 0.076 0.0013 0.016 0.016 0.0015 0.014 0.0084 0.0036
92 0.0062 0.0065 3.9e-05 0.037 0.01 0.0046 0.029 0.11 0.051 0.55 0.049 0.076 0.0013 0.016 0.016 0.0015 0.014 0.0084 0.0036
93 0.0062 0.0065 3.9e-05 0.037 0.01 0.0046 0.029 0.11 0.051 0.55 0.049 0.076 0.0013 0.016 0.016 0.0015 0.014 0.0084 0.0036
94 0.0062 0.0065 3.9e-05 0.037 0.01 0.0046 0.029 0.11 0.051 0.55 0.049 0.076 0.0013 0.016 0.016 0.0015 0.014 0.0084 0.0036
95 0.0062 0.0065 3.9e-05 0.037 0.01 0.0046 0.029 0.11 0.051 0.55 0.049 0.076 0.0013 0.016 0.016 0.0015 0.014 0.0084 0.0036
96 0.0062 0.0065 3.9e-05 0.037 0.01 0.0046 0.029 0.11 0.051 0.55 0.049 0.076 0.0013 0.016 0.016 0.0015 0.014 0.0084 0.0036
97 0.0062 0.0065 3.9e-05 0.037 0.01 0.0046 0.029 0.11 0.051 0.55 0.049 0.076 0.0013 0.016 0.016 0.0015 0.014 0.0084 0.0036
98 0.0062 0.0065 3.9e-05 0.037 0.01 0.0046 0.029 0.11 0.051 0.55 0.049 0.076 0.0013 0.016 0.016 0.0015 0.014 0.0084 0.0036
99 0.0062 0.0065 3.9e-05 0.037 0.01 0.0046 0.029 0.11 0.051 0.55 0.049 0.076 0.0013 0.016 0.016 0.0015 0.014 0.0084 0.0036
100 0.0062 0.0065 3.9e-05 0.037 0.01 0.0046 0.029 0.11 0.051 0.55 0.049 0.076 0.0013 0.016 0.016 0.0015 0.014 0.0084 0.0036
101 0.0062 0.0065 3.9e-05 0.037 0.01 0.0046 0.029 0.11 0.051 0.55 0.049 0.076 0.0013 0.016 0.016 0.0015 0.014 0.0084 0.0036
102 0.0062 0.0065 3.9e-05 0.037 0.01 0.0046 0.029 0.11 0.051 0.55 0.049 0.076 0.0013 0.016 0.016 0.0015 0.014 0.0084 0.0036
103 0.0062 0.0065 3.9e-05 0.037 0.01 0.0046 0.029 0.11 0.051 0.55 0.049 0.076 0.0013 0.016 0.016 0.0015 0.014 0.0084 0.0036
104 0.0062 0.0065 3.9e-05 0.037 0.01 0.0046 0.029 0.11 0.051 0.55 0.049 0.076 0.0013 0.016 0.016 0.0015 0.014 0.0084 0.0036
105 0.0062 0.0065 3.9e-05 0.037 0.01 0.0046 0.029 0.11 0.051 0.55 0.049 0.076 0.0013 0.016 0.016 0.0015 0.014 0.0084 0.0036
106 0.0062 0.0065 3.9e-05 0.037 0.01 0.0046 0.029 0.11 0.051 0.55 0.049 0.076 0.0013 0.016 0.016 0.0015 0.014 0.0084 0.0036
107 0.0062 0.0065 3.9e-05 0.037 0.01 0.0046 0.029 0.11 0.051 0.55 0.049 0.076 0.0013 0.016 0.016 0.0015 0.014 0.0084 0.0036
108 0.0062 0.0065 3.9e-05 0.037 0.01 0.0046 0.029 0.11 0.051 0.55 0.049 0.076 0.0013 0.016 0.016 0.0015 0.014 0.0084 0.0036
